latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
49.66899361388889,-125.36170184166664,1352.7161,21.95000,69,2021,-257483.904
49.66899361388889,-125.36170184166664,1352.7162,21.95833,69,2021,-323277.815
49.66899361388889,-125.36170184444443,1352.7162,21.96667,69,2021,-389085.861
49.66899361388889,-125.36170184444443,1352.7162,21.97500,69,2021,-454891.181
49.66899361388889,-125.36170184444443,1352.7162,21.98333,69,2021,479299.497
49.66899361388889,-125.36170184444443,1352.7162,21.99167,69,2021,413481.952
49.66899361388889,-125.36170184444443,1352.7162,22.00000,69,2021,347650.899
49.66899361388889,-125.36170184444443,1352.7161,22.00833,69,2021,281807.545
49.66899361388889,-125.36170184444443,1352.7161,22.01667,69,2021,215951.790
49.66899361388889,-125.36170184444443,1352.7161,22.02500,69,2021,150080.872
49.66899361388889,-125.36170184444443,1352.7161,22.03333,69,2021,84203.349
49.66899361388889,-125.36170184444443,1352.7161,22.04167,69,2021,18319.788
49.66899361388889,-125.36170184722221,1352.7161,22.05000,69,2021,-47572.391
49.66899361388889,-125.36170184722221,1352.7161,22.05833,69,2021,-113465.075
49.66899361388889,-125.36170184722221,1352.7161,22.06667,69,2021,-179361.783
49.66899361388889,-125.36170184722221,1352.7161,22.07500,69,2021,-245266.736
49.66899361388889,-125.36170184722221,1352.7161,22.08333,69,2021,-311183.063
49.66899361388889,-125.36170184722221,1352.7161,22.09167,69,2021,-377108.021
49.66899361388889,-125.36170184722221,1352.7161,22.10000,69,2021,-443044.139
49.66899361388889,-125.36170184722221,1352.7161,22.10833,69,2021,491015.386
49.66899361388889,-125.36170184722221,1352.7161,22.11667,69,2021,425073.424
49.66899361388889,-125.36170184722221,1352.7161,22.12500,69,2021,359117.774
49.66899361388889,-125.36170184722221,1352.7161,22.13333,69,2021,293162.963
49.66899361388889,-125.36170184999996,1352.7161,22.14167,69,2021,227198.921
49.66899361388889,-125.36170184999996,1352.7162,22.15000,69,2021,161231.887
49.66899361388889,-125.36170184999996,1352.7162,22.15833,69,2021,95255.616
49.66899361388889,-125.36170184999996,1352.7162,22.16667,69,2021,29273.225
49.66899361388889,-125.36170184999996,1352.7162,22.17500,69,2021,-36715.670
49.66899361388889,-125.36170184999996,1352.7162,22.18333,69,2021,-102721.092
49.66899361388889,-125.36170184999996,1352.7162,22.19167,69,2021,-168720.677
49.66899361388889,-125.36170184999996,1352.7163,22.20000,69,2021,-234723.575
49.66899361388889,-125.36170184999996,1352.7163,22.20833,69,2021,-300723.280
49.66899361388889,-125.36170184999996,1352.7163,22.21667,69,2021,-366723.195
49.66899361388889,-125.36170184999996,1352.7163,22.22500,69,2021,-432733.451
49.66899361388889,-125.36170184999996,1352.7163,22.23333,69,2021,-498757.704
