41:55.0,49.6741373,-125.3772725,1265.0145,5,9,3.4817,2.4861,5.5375,1.5043,2.5506,2.1551,0,0
41:56.0,49.67413297,-125.3772719,1264.7169,5,9,3.4816,2.486,5.5378,1.5038,2.5505,2.1551,0,0
41:57.0,49.67413202,-125.3772713,1264.4347,5,9,3.4814,2.4859,5.5381,1.5033,2.5504,2.1551,0,0
41:58.0,49.67413185,-125.3772699,1264.503,5,9,3.4813,2.4857,5.5384,1.5028,2.5504,2.1551,0,0
41:59.0,49.67413198,-125.3772703,1264.6828,5,9,3.4811,2.4856,5.5387,1.5023,2.5503,2.1551,0,0
42:00.0,49.67413444,-125.3772711,1264.7894,5,9,3.481,2.4855,5.539,1.5017,2.5502,2.1551,0,0
42:01.0,49.67413496,-125.3772719,1264.9149,5,9,3.4808,2.4854,5.5393,1.5012,2.5501,2.1551,0,0
42:02.0,49.67413608,-125.3772693,1264.8654,5,9,3.4807,2.4853,5.5396,1.5007,2.5501,2.1551,0,0
42:03.0,49.67413852,-125.3772692,1265.1585,5,9,3.4806,2.4852,5.5399,1.5002,2.55,2.1551,0,0
42:04.0,49.67414041,-125.3772691,1265.6083,5,9,3.4804,2.4851,5.5402,1.4997,2.5499,2.1551,0,0
42:05.0,49.67413702,-125.3772703,1265.4425,5,9,3.4803,2.485,5.5406,1.4992,2.5498,2.1551,0,0
42:06.0,49.67413797,-125.3772699,1265.3989,5,9,3.4801,2.4849,5.5409,1.4987,2.5497,2.1551,0,0
42:07.0,49.67414001,-125.3772708,1265.5614,5,9,3.48,2.4848,5.5412,1.4981,2.5497,2.1551,0,0
42:08.0,49.67414119,-125.3772718,1265.7063,5,9,3.4798,2.4847,5.5415,1.4976,2.5496,2.1551,0,0
42:09.0,49.67414058,-125.3772703,1265.4333,5,9,3.4797,2.4846,5.5418,1.4971,2.5495,2.1551,0,0
42:10.0,49.67413982,-125.3772682,1265.2054,5,9,3.4796,2.4845,5.5421,1.4966,2.5494,2.1551,0,0
42:11.0,49.67413873,-125.3772657,1265.12,5,9,3.4794,2.4844,5.5424,1.4961,2.5494,2.1551,0,0
42:12.0,49.67413853,-125.3772633,1265.041,5,9,3.4793,2.4843,5.5427,1.4956,2.5493,2.1551,0,0
42:13.0,49.67413936,-125.3772659,1265.547,5,9,3.4791,2.4842,5.543,1.495,2.5492,2.1551,0,0
42:14.0,49.67413826,-125.3772681,1265.8084,5,9,3.479,2.4841,5.5433,1.4945,2.5491,2.1551,0,0
42:15.0,49.67414035,-125.377268,1266.0336,5,9,3.4788,2.484,5.5436,1.494,2.5491,2.1551,0,0
42:16.0,49.67414132,-125.3772687,1265.9136,5,9,3.4787,2.4839,5.5439,1.4935,2.549,2.1551,0,0
42:17.0,49.67414143,-125.3772656,1265.6091,5,9,3.4786,2.4837,5.5443,1.493,2.5489,2.155,0,0
42:18.0,49.67414106,-125.3772667,1265.3076,5,9,3.4784,2.4836,5.5446,1.4925,2.5488,2.155,0,0
42:19.0,49.67414112,-125.3772674,1264.9718,5,9,3.4783,2.4835,5.5449,1.4919,2.5487,2.155,0,0
42:20.0,49.67414196,-125.377268,1265.0155,5,9,3.4781,2.4834,5.5452,1.4914,2.5487,2.155,0,0
42:21.0,49.67414205,-125.3772688,1265.0554,5,9,3.478,2.4833,5.5455,1.4909,2.5486,2.155,0,0
42:22.0,49.67413825,-125.3772697,1264.8718,5,9,3.4778,2.4832,5.5458,1.4904,2.5485,2.155,0,0
42:23.0,49.67413321,-125.3772708,1264.5488,5,9,3.4777,2.4831,5.5461,1.4899,2.5484,2.155,0,0
42:24.0,49.67413243,-125.3772727,1264.9762,5,9,3.4776,2.483,5.5464,1.4894,2.5483,2.155,0,0
42:25.0,49.67413365,-125.3772729,1265.389,5,9,3.4774,2.4829,5.5467,1.4888,2.5483,2.155,0,0
42:26.0,49.67413445,-125.377275,1265.7177,5,9,3.4773,2.4828,5.547,1.4883,2.5482,2.155,0,0
42:27.0,49.6741329,-125.3772762,1265.5243,5,9,3.4771,2.4827,5.5473,1.4878,2.5481,2.155,0,0
42:28.0,49.67413343,-125.3772753,1265.9222,5,9,3.477,2.4826,5.5476,1.4873,2.548,2.155,0,0
42:29.0,49.67413602,-125.377274,1266.55,5,9,3.4768,2.4825,5.5479,1.4868,2.5479,2.155,0,0
42:30.0,49.67413623,-125.377273,1266.8081,5,9,3.4767,2.4824,5.5482,1.4862,2.5479,2.155,0,0
42:31.0,49.67413505,-125.3772729,1267.167,5,9,3.4766,2.4823,5.5485,1.4857,2.5478,2.155,0,0
42:32.0,49.67413246,-125.3772717,1266.7787,5,9,3.4764,2.4822,5.5488,1.4852,2.5477,2.155,0,0
