ACO_Flight_Number,Survey_Start_Time,Study_Area,Plot_ID,easting,northing,elev_ellipsoidal,lon,lat,plot_type,cardinal_direction,multi_core,depth,core,plug,mass,SWE,density
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,E,NA,233,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,E,NA,300,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,E,NA,317,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,W,NA,300,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,W,NA,302,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,W,NA,227,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,W,NA,230,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,W,no,298,270,0,1530,110.434,0.370584
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,E,no,293,257,0,1350,97.4418,0.332566
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,N,NA,337,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,N,NA,338,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,N,NA,324,NA,0,NA,NA,NA
2,4/9/2021 14:44,Cruickshank,CRU_S5O,329405.5,5503820,1121.618,-125.364,49.66276,Cardinal 10 m,N,no,306,278,0,1570,113.3212,0.370331
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,N,NA,374,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,N,NA,348,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,N,NA,382,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,N,NA,342,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,Centre,no,389,325,3,1630,117.652,0.302447
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,W,NA,370,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,W,NA,324,NA,0,NA,NA,NA
2,4/9/2021 12:14,Cruickshank,CRU_S3F,328738.7,5504270,1312.464,-125.373,49.66662,Cardinal 10 m,W,NA,356,NA,0,NA,NA,NA
