"","Survey_Start_Time","Study_Area","Plot_ID","easting","northing","elev_ellipsoidal","lon","lat","plot_type","cardinal_direction","multi_core","depth","core","plug","mass","SWE","density"
"66","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","N",NA,260,NA,NA,NA,NA,NA
"67","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","Centre","no",230,225,2,820,59.1868722609277,0.259591545004069
"68","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","S","no",225,191,6,560,40.4203030074628,0.184567593641383
"69","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","S",NA,290,NA,NA,NA,NA,NA
"70","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","S",NA,259,NA,NA,NA,NA,NA
"71","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","S",NA,235,NA,NA,NA,NA,NA
"72","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","E","no",261,236,8,690,49.8035876341953,0.196852125036345
"73","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","E",NA,145,NA,NA,NA,NA,NA
"74","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","E",NA,250,NA,NA,NA,NA,NA
"75","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","E",NA,271,NA,NA,NA,NA,NA
"76","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","W","no",225,175,0,560,40.4203030074628,0.179645791144279
"77","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","W",NA,238,NA,NA,NA,NA,NA
"78","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","W",NA,215,NA,NA,NA,NA,NA
"79","3/11/2021 15:15","Cruickshank","CRU_E7S",330730.029,5503354.767,981.414,-125.34544972,49.65895921,"Cardinal 10 m","W",NA,234,NA,NA,NA,NA,NA
"80","3/9/2021 16:24","Cruickshank","CRU_CAM1",330133.068,5504196.401,1122.364,-125.35407913,49.66635518,"Camera Snow Stakes",NA,NA,280,NA,NA,NA,NA,NA
"81","3/9/2021 16:24","Cruickshank","CRU_CAM1",330133.068,5504196.401,1122.364,-125.35407913,49.66635518,"Camera Snow Stakes",NA,NA,279,NA,NA,NA,NA,NA
"82","3/9/2021 16:24","Cruickshank","CRU_CAM1",330133.068,5504196.401,1122.364,-125.35407913,49.66635518,"Camera Snow Stakes",NA,NA,285,NA,NA,NA,NA,NA
"83","3/9/2021 16:24","Cruickshank","CRU_CAM1",330133.068,5504196.401,1122.364,-125.35407913,49.66635518,"Camera Snow Stakes",NA,NA,115,NA,NA,NA,NA,NA
"84","3/9/2021 16:24","Cruickshank","CRU_CAM1",330133.068,5504196.401,1122.364,-125.35407913,49.66635518,"Camera Snow Stakes",NA,NA,330,NA,NA,NA,NA,NA
"85","3/11/2021 11:53","Cruickshank","CRU_CAM2",330643.33,5503665.223,1015.715,-125.34678424,49.66172496,"Camera Snow Stakes",NA,NA,355,NA,NA,NA,NA,NA
"86","3/11/2021 11:53","Cruickshank","CRU_CAM2",330643.33,5503665.223,1015.715,-125.34678424,49.66172496,"Camera Snow Stakes",NA,NA,340,NA,NA,NA,NA,NA
"87","3/11/2021 11:53","Cruickshank","CRU_CAM2",330643.33,5503665.223,1015.715,-125.34678424,49.66172496,"Camera Snow Stakes",NA,NA,360,NA,NA,NA,NA,NA
"88","3/11/2021 11:53","Cruickshank","CRU_CAM2",330643.33,5503665.223,1015.715,-125.34678424,49.66172496,"Camera Snow Stakes",NA,NA,325,NA,NA,NA,NA,NA
"89","3/11/2021 11:53","Cruickshank","CRU_CAM2",330643.33,5503665.223,1015.715,-125.34678424,49.66172496,"Camera Snow Stakes",NA,NA,370,NA,NA,NA,NA,NA
"90","3/11/2021 16:00","Cruickshank","CRU_CAM3",330745.787,5503356.824,981.427,-125.34523246,49.65898212,"Camera Snow Stakes",NA,NA,289,NA,NA,NA,NA,NA
"91","3/11/2021 16:00","Cruickshank","CRU_CAM3",330745.787,5503356.824,981.427,-125.34523246,49.65898212,"Camera Snow Stakes",NA,NA,271,NA,NA,NA,NA,NA
"92","3/11/2021 16:00","Cruickshank","CRU_CAM3",330745.787,5503356.824,981.427,-125.34523246,49.65898212,"Camera Snow Stakes",NA,NA,269,NA,NA,NA,NA,NA
"93","3/11/2021 16:00","Cruickshank","CRU_CAM3",330745.787,5503356.824,981.427,-125.34523246,49.65898212,"Camera Snow Stakes",NA,NA,284,NA,NA,NA,NA,NA
"94","3/11/2021 16:00","Cruickshank","CRU_CAM3",330745.787,5503356.824,981.427,-125.34523246,49.65898212,"Camera Snow Stakes",NA,NA,293,NA,NA,NA,NA,NA
