date time+AF8-utc lat lon elev                               
2021/03/10 20:41:49.000 49.674136168 +AC0-125.377273505 1264.9276   5   9   3.4826   2.4867   5.5356   1.5074   2.551   2.1551   0    0
2021/03/10 20:41:50.000 49.674136646 +AC0-125.377275352 1264.9436   5   9   3.4824   2.4866   5.5359   1.5069   2.551   2.1551   0    0
2021/03/10 20:41:51.000 49.67413602 +AC0-125.377274578 1264.7338   5   9   3.4823   2.4865   5.5362   1.5064   2.5509   2.1551   0    0
2021/03/10 20:41:52.000 49.674136264 +AC0-125.377275806 1265.2512   5   9   3.4821   2.4864   5.5365   1.5058   2.5508   2.1551   0    0
2021/03/10 20:41:53.000 49.674135155 +AC0-125.377275369 1265.0233   5   9   3.482   2.4863   5.5368   1.5053   2.5507   2.1551   0    0
2021/03/10 20:41:54.000 49.674135708 +AC0-125.377274548 1265.2524   5   9   3.4818   2.4862   5.5372   1.5048   2.5507   2.1551   0    0
2021/03/10 20:41:55.000 49.674137302 +AC0-125.37727245 1265.0145   5   9   3.4817   2.4861   5.5375   1.5043   2.5506   2.1551   0    0
2021/03/10 20:41:56.000 49.674132966 +AC0-125.377271896 1264.7169   5   9   3.4816   2.486   5.5378   1.5038   2.5505   2.1551   0    0
2021/03/10 20:41:57.000 49.674132021 +AC0-125.377271251 1264.4347   5   9   3.4814   2.4859   5.5381   1.5033   2.5504   2.1551   0    0
2021/03/10 20:41:58.000 49.674131853 +AC0-125.377269943 1264.503   5   9   3.4813   2.4857   5.5384   1.5028   2.5504   2.1551   0    0
2021/03/10 20:41:59.000 49.67413198 +AC0-125.377270332 1264.6828   5   9   3.4811   2.4856   5.5387   1.5023   2.5503   2.1551   0    0
2021/03/10 20:42:00.000 49.674134442 +AC0-125.377271056 1264.7894   5   9   3.481   2.4855   5.539   1.5017   2.5502   2.1551   0    0
2021/03/10 20:42:01.000 49.674134962 +AC0-125.377271922 1264.9149   5   9   3.4808   2.4854   5.5393   1.5012   2.5501   2.1551   0    0
2021/03/10 20:42:02.000 49.674136077 +AC0-125.377269336 1264.8654   5   9   3.4807   2.4853   5.5396   1.5007   2.5501   2.1551   0    0
2021/03/10 20:42:03.000 49.674138518 +AC0-125.377269151 1265.1585   5   9   3.4806   2.4852   5.5399   1.5002   2.55   2.1551   0    0
2021/03/10 20:42:04.000 49.674140412 +AC0-125.377269138 1265.6083   5   9   3.4804   2.4851   5.5402   1.4997   2.5499   2.1551   0    0
2021/03/10 20:42:05.000 49.674137018 +AC0-125.377270252 1265.4425   5   9   3.4803   2.485   5.5406   1.4992   2.5498   2.1551   0    0
2021/03/10 20:42:06.000 49.674137973 +AC0-125.377269899 1265.3989   5   9   3.4801   2.4849   5.5409   1.4987   2.5497   2.1551   0    0
2021/03/10 20:42:07.000 49.674140009 +AC0-125.377270835 1265.5614   5   9   3.48   2.4848   5.5412   1.4981   2.5497   2.1551   0    0
2021/03/10 20:42:08.000 49.674141194 +AC0-125.377271847 1265.7063   5   9   3.4798   2.4847   5.5415   1.4976   2.5496   2.1551   0    0
2021/03/10 20:42:09.000 49.674140577 +AC0-125.377270316 1265.4333   5   9   3.4797   2.4846   5.5418   1.4971   2.5495   2.1551   0    0
2021/03/10 20:42:10.000 49.674139818 +AC0-125.377268215 1265.2054   5   9   3.4796   2.4845   5.5421   1.4966   2.5494   2.1551   0    0
2021/03/10 20:42:11.000 49.674138734 +AC0-125.377265686 1265.12   5   9   3.4794   2.4844   5.5424   1.4961   2.5494   2.1551   0    0
2021/03/10 20:42:12.000 49.674138532 +AC0-125.377263284 1265.041   5   9   3.4793   2.4843   5.5427   1.4956   2.5493   2.1551   0    0
2021/03/10 20:42:13.000 49.674139356 +AC0-125.377265919 1265.547   5   9   3.4791   2.4842   5.543   1.495   2.5492   2.1551   0    0
2021/03/10 20:42:14.000 49.674138264 +AC0-125.377268141 1265.8084   5   9   3.479   2.4841   5.5433   1.4945   2.5491   2.1551   0    0
2021/03/10 20:42:15.000 49.674140353 +AC0-125.377267951 1266.0336   5   9   3.4788   2.484   5.5436   1.494   2.5491   2.1551   0    0
2021/03/10 20:42:16.000 49.674141319 +AC0-125.377268689 1265.9136   5   9   3.4787   2.4839   5.5439   1.4935   2.549   2.1551   0    0
2021/03/10 20:42:17.000 49.674141425 +AC0-125.377265617 1265.6091   5   9   3.4786   2.4837   5.5443   1.493   2.5489   2.155   0    0
2021/03/10 20:42:18.000 49.674141061 +AC0-125.37726668 1265.3076   5   9   3.4784   2.4836   5.5446   1.4925   2.5488   2.155   0    0
2021/03/10 20:42:19.000 49.674141123 +AC0-125.377267383 1264.9718   5   9   3.4783   2.4835   5.5449   1.4919   2.5487   2.155   0    0
2021/03/10 20:42:20.000 49.674141957 +AC0-125.377267994 1265.0155   5   9   3.4781   2.4834   5.5452   1.4914   2.5487   2.155   0    0
2021/03/10 20:42:21.000 49.674142049 +AC0-125.377268832 1265.0554   5   9   3.478   2.4833   5.5455   1.4909   2.5486   2.155   0    0
2021/03/10 20:42:22.000 49.674138252 +AC0-125.377269719 1264.8718   5   9   3.4778   2.4832   5.5458   1.4904   2.5485   2.155   0    0
2021/03/10 20:42:23.000 49.674133208 +AC0-125.377270779 1264.5488   5   9   3.4777   2.4831   5.5461   1.4899   2.5484   2.155   0    0
2021/03/10 20:42:24.000 49.674132427 +AC0-125.377272731 1264.9762   5   9   3.4776   2.483   5.5464   1.4894   2.5483   2.155   0    0
2021/03/10 20:42:25.000 49.674133648 +AC0-125.377272946 1265.389   5   9   3.4774   2.4829   5.5467   1.4888   2.5483   2.155   0    0
2021/03/10 20:42:26.000 49.674134445 +AC0-125.377275011 1265.7177   5   9   3.4773   2.4828   5.547   1.4883   2.5482   2.155   0    0
2021/03/10 20:42:27.000 49.674132899 +AC0-125.3772762 1265.5243   5   9   3.4771   2.4827   5.5473   1.4878   2.5481   2.155   0    0
2021/03/10 20:42:28.000 49.674133428 +AC0-125.377275306 1265.9222   5   9   3.477   2.4826   5.5476   1.4873   2.548   2.155   0    0
2021/03/10 20:42:29.000 49.674136016 +AC0-125.377274015 1266.55   5   9   3.4768   2.4825   5.5479   1.4868   2.5479   2.155   0    0
2021/03/10 20:42:30.000 49.674136232 +AC0-125.377272979 1266.8081   5   9   3.4767   2.4824   5.5482   1.4862   2.5479   2.155   0    0
2021/03/10 20:42:31.000 49.674135051 +AC0-125.377272947 1267.167   5   9   3.4766   2.4823   5.5485   1.4857   2.5478   2.155   0    0
2021/03/10 20:42:32.000 49.674132464 +AC0-125.377271721 1266.7787   5   9   3.4764   2.4822   5.5488   1.4852   2.5477   2.155   0    0
2021/03/10 20:42:33.000 49.674134058 +AC0-125.377268624 1266.7959   5   9   3.4763   2.4821   5.5491   1.4847   2.5476   2.155   0    0
2021/03/10 20:42:34.000 49.674135129 +AC0-125.3772673 1266.3943   5   9   3.4761   2.482   5.5494   1.4841   2.5475   2.155   0    0
2021/03/10 20:42:35.000 49.674135882 +AC0-125.377267661 1265.9023   5   9   3.476   2.4819   5.5497   1.4836   2.5474   2.155   0    0
2021/03/10 20:42:36.000 49.674136925 +AC0-125.377268284 1265.015   5   9   3.4758   2.4818   5.55   1.4831   2.5474   2.155   0    0
2021/03/10 20:42:37.000 49.67413668 +AC0-125.377268634 1264.5249   5   9   3.4757   2.4816   5.5503   1.4826   2.5473   2.1549   0    0
2021/03/10 20:42:38.000 49.674136501 +AC0-125.377269646 1264.5788   5   9   3.4756   2.4815   5.5507   1.4821   2.5472   2.1549   0    0
2021/03/10 20:42:39.000 49.674138384 +AC0-125.377269185 1264.8558   5   9   3.4754   2.4814   5.551   1.4815   2.5471   2.1549   0    0
